System,Num_Known,Stellar_Mass_Msun,Known_Planets_Pdays_aAU,Predicted_Unseen_Pdays_aAU
14 Her,2,0.91,1765.0 (2.770); 15732.5 (11.907),5269.6 (5.743)
24 Sex,2,1.54,452.8 (1.333); 883.0 (2.080),None
2MASS J19383260+4603591,3,0.48,43.0 (0.188); 406.0 (0.840); 1460.0 (1.972),132.1 (0.398); 769.9 (1.287)
47 UMa,3,1.06,1078.0 (2.098); 2391.0 (3.568); 14002.0 (11.592),5786.1 (6.431)
55 Cnc,5,1.015,0.7 (0.015); 14.7 (0.118); 44.4 (0.247); 260.6 (0.802); 4799.0 (5.596),3.4 (0.043); 25.5 (0.17); 107.6 (0.445); 1118.3 (2.119)
55 Cnc B,2,0.26,6.8 (0.045); 33.7 (0.130),15.1 (0.076)
61 Vir,3,0.942,4.2 (0.050); 38.0 (0.217); 123.0 (0.475),12.7 (0.104); 68.4 (0.321)
7 CMa,2,1.34,735.1 (1.757); 996.0 (2.152),None
75 Cet,2,1.92,696.6 (1.911); 2051.6 (3.927),1195.5 (2.74)
AU Mic,4,0.51,8.5 (0.065); 12.7 (0.085); 18.9 (0.111); 33.1 (0.170),None
BD+20 2457,2,2.8,379.6 (1.446); 622.0 (2.010),None
BD-06 1339,2,0.7,3.9 (0.043); 125.9 (0.437),22.1 (0.137)
BD-08 2823,2,0.5,5.6 (0.049); 237.6 (0.679),40.2 (0.182)
BD-11 4672,2,0.651,74.2 (0.300); 1634.0 (2.353),348.2 (0.839)
BD-210397,2,0.679,1891.0 (2.630); 6240.0 (5.862),3448.9 (3.927)
Barnard's star,4,0.162,2.3 (0.019); 3.2 (0.023); 4.1 (0.027); 6.7 (0.038),None
CoRoT-20,2,1.14,9.2 (0.090); 1675.0 (2.883),124.4 (0.51)
CoRoT-24,2,0.91,5.1 (0.056); 11.8 (0.098),None
CoRoT-7,3,0.82,0.9 (0.016); 3.7 (0.045); 9.0 (0.082),1.8 (0.027); 5.8 (0.061)
DMPP-1,4,1.21,2.9 (0.042); 5.5 (0.065); 6.6 (0.073); 18.6 (0.146),11.1 (0.104)
EPIC 201595106,2,0.958,0.9 (0.018); 9.8 (0.088),2.9 (0.04)
EPIC 206024342,3,0.928,0.9 (0.018); 4.5 (0.052); 14.6 (0.114),2.0 (0.031); 8.1 (0.077)
EPIC 206042996,2,0.565,0.4 (0.008); 5.3 (0.049),1.4 (0.02)
EPIC 206317286,2,0.711,1.6 (0.024); 17.5 (0.124),5.5 (0.054)
EPIC 212297394,2,0.83,2.3 (0.032); 5.2 (0.055),None
EPIC 212587672,2,0.99,15.3 (0.120); 23.2 (0.159),None
EPIC 212624936,2,1.0,0.6 (0.014); 11.8 (0.102),2.6 (0.037)
EPIC 212737443,2,0.69,13.6 (0.099); 65.5 (0.281),29.9 (0.166)
EPIC 220674823,2,0.913,0.6 (0.013); 13.3 (0.107),2.8 (0.037)
EPIC 249893012,3,1.05,3.6 (0.047); 15.6 (0.124); 35.7 (0.216),7.5 (0.076)
G 192-15,2,0.132,2.3 (0.017); 1219.0 (1.137),52.7 (0.14)
G 264-012,2,0.297,2.3 (0.023); 8.1 (0.052),4.3 (0.035)
GJ 1002,2,0.12,10.3 (0.046); 21.2 (0.074),None
GJ 1061,3,0.12,3.2 (0.021); 6.7 (0.034); 13.0 (0.053),None
GJ 1132,2,0.194,1.6 (0.016); 8.9 (0.048),3.7 (0.027)
GJ 1148,2,0.344,41.4 (0.164); 532.6 (0.901),148.5 (0.384)
GJ 143,2,0.73,7.8 (0.069); 35.6 (0.191),16.7 (0.115)
GJ 15 A,2,0.38,11.4 (0.072); 7600.0 (5.480),294.9 (0.628)
GJ 163,3,0.4,8.6 (0.061); 25.6 (0.125); 604.0 (1.030),14.9 (0.087); 124.4 (0.359)
GJ 180,3,0.43,17.1 (0.098); 24.3 (0.124); 106.3 (0.331),50.9 (0.203)
GJ 2030,2,0.96,2.4 (0.034); 25533.1 (16.740),246.6 (0.759)
GJ 229,2,0.509,121.9 (0.384); 579.5 (1.086),265.8 (0.646)
GJ 251,2,0.35,14.2 (0.081); 53.6 (0.196),27.6 (0.126)
GJ 273,2,0.29,4.7 (0.036); 18.6 (0.091),9.4 (0.058)
GJ 3138,3,0.681,1.2 (0.020); 6.0 (0.057); 257.8 (0.697),2.7 (0.033); 39.2 (0.199)
GJ 317,2,0.402,695.7 (1.134); 6500.0 (5.031),2126.5 (2.389)
GJ 328,2,0.65,241.8 (0.658); 3771.0 (4.107),954.9 (1.644)
GJ 3293,4,0.42,13.3 (0.082); 30.6 (0.143); 48.1 (0.194); 122.6 (0.362),76.8 (0.265)
GJ 3323,2,0.164,5.4 (0.033); 40.5 (0.126),14.7 (0.064)
GJ 3473,2,0.36,1.2 (0.016); 15.5 (0.087),4.3 (0.037)
GJ 3512,2,0.123,203.1 (0.336); 2354.0 (1.722),691.5 (0.761)
